iter	Passed	Remaining
432	1607	2104
433	1610	2100
434	1614	2096
435	1617	2092
436	1621	2089
437	1625	2085
438	1628	2081
439	1632	2077
440	1636	2074
441	1640	2070
442	1643	2066
443	1647	2063
444	1651	2059
445	1655	2056
446	1658	2052
447	1662	2048
448	1666	2044
449	1670	2041
450	1673	2037
451	1677	2033
452	1681	2030
453	1685	2027
454	1689	2023
455	1693	2019
456	1696	2015
457	1700	2012
458	1704	2008
459	1707	2004
460	1711	2000
461	1715	1997
462	1719	1994
463	1722	1990
464	1726	1986
465	1730	1983
466	1734	1979
467	1738	1975
468	1741	1972
469	1745	1968
470	1750	1965
471	1753	1961
472	1757	1957
473	1761	1954
474	1765	1950
475	1768	1947
476	1772	1943
477	1776	1940
478	1780	1936
479	1785	1934
480	1789	1930
481	1792	1926
482	1796	1923
483	1800	1919
484	1804	1915
485	1807	1911
486	1811	1908
487	1815	1905
488	1819	1901
489	1822	1897
490	1826	1893
491	1830	1890
492	1834	1886
493	1837	1882
494	1841	1878
495	1846	1876
496	1850	1873
497	1854	1869
498	1858	1865
499	1863	1863
500	1867	1859
501	1870	1855
502	1874	1852
503	1879	1849
504	1882	1845
505	1886	1841
506	1889	1837
507	1894	1834
508	1898	1831
509	1902	1827
510	1908	1826
511	1912	1822
512	1916	1819
513	1919	1815
514	1924	1812
515	1928	1809
516	1932	1805
517	1935	1801
518	1939	1797
519	1942	1793
520	1946	1789
521	1950	1785
522	1953	1781
523	1958	1779
524	1962	1775
525	1966	1771
526	1970	1768
527	1974	1765
528	1978	1761
529	1982	1757
530	1985	1753
531	1990	1750
532	1993	1747
533	1997	1743
534	2001	1739
535	2005	1735
536	2008	1732
537	2012	1728
538	2016	1724
539	2019	1720
540	2023	1717
541	2027	1713
542	2031	1709
543	2034	1705
544	2038	1701
545	2042	1698
546	2045	1694
547	2049	1690
548	2053	1686
549	2057	1683
550	2060	1679
551	2064	1675
552	2067	1671
553	2072	1668
554	2076	1664
555	2079	1660
556	2083	1656
557	2086	1653
558	2090	1648
559	2093	1645
560	2097	1641
561	2100	1637
562	2104	1633
563	2108	1629
564	2111	1625
565	2115	1622
566	2119	1618
567	2123	1615
568	2127	1611
569	2130	1607
570	2134	1603
571	2138	1599
572	2142	1596
573	2145	1592
574	2149	1588
575	2153	1585
576	2157	1581
577	2160	1577
578	2164	1573
579	2168	1570
580	2172	1566
581	2176	1562
582	2179	1559
583	2183	1555
584	2187	1551
585	2191	1548
586	2194	1544
587	2198	1540
588	2202	1536
589	2206	1533
590	2209	1529
591	2213	1525
592	2217	1522
593	2221	1518
594	2224	1514
595	2228	1510
596	2232	1506
597	2236	1503
598	2239	1499
599	2243	1495
600	2246	1491
601	2250	1487
602	2254	1484
603	2257	1480
604	2261	1476
605	2264	1472
606	2268	1468
607	2272	1465
608	2275	1461
609	2279	1457
610	2283	1453
611	2287	1450
612	2290	1446
613	2294	1442
614	2298	1438
615	2302	1435
616	2305	1431
617	2309	1427
618	2313	1423
619	2317	1420
620	2320	1416
621	2324	1412
622	2327	1408
623	2331	1404
624	2335	1401
625	2338	1397
626	2342	1393
627	2345	1389
628	2349	1386
629	2353	1382
630	2356	1378
631	2360	1374
632	2363	1370
633	2367	1366
634	2370	1362
635	2374	1358
636	2378	1355
637	2382	1351
638	2385	1347
639	2389	1343
640	2392	1339
641	2397	1336
642	2400	1332
643	2404	1329
644	2407	1325
645	2411	1321
646	2415	1318
647	2419	1314
648	2422	1310
649	2426	1306
650	2430	1303
651	2433	1299
652	2437	1295
653	2440	1291
654	2444	1287
655	2448	1284
656	2452	1280
657	2455	1276
658	2459	1272
659	2464	1269
660	2467	1265
661	2471	1261
662	2474	1257
663	2478	1254
664	2482	1250
665	2485	1246
666	2489	1242
667	2492	1239
668	2496	1235
669	2500	1231
670	2503	1227
671	2507	1223
672	2511	1220
673	2514	1216
674	2518	1212
675	2521	1208
676	2525	1204
677	2529	1201
678	2533	1197
679	2536	1193
680	2540	1190
681	2544	1186
682	2547	1182
683	2551	1178
684	2554	1174
685	2558	1171
686	2562	1167
687	2565	1163
688	2569	1159
689	2573	1156
690	2577	1152
691	2580	1148
692	2584	1144
693	2588	1141
694	2592	1137
695	2595	1133
696	2599	1129
697	2602	1126
698	2606	1122
699	2610	1118
700	2613	1114
701	2617	1111
702	2621	1107
703	2624	1103
704	2628	1099
705	2631	1096
706	2635	1092
707	2639	1088
708	2642	1084
709	2646	1080
710	2649	1077
711	2653	1073
712	2657	1069
713	2660	1065
714	2663	1061
715	2667	1058
716	2670	1054
717	2674	1050
718	2678	1046
719	2681	1042
720	2684	1038
721	2688	1035
722	2692	1031
723	2695	1027
724	2699	1023
725	2703	1020
726	2707	1016
727	2710	1012
728	2713	1008
729	2717	1005
730	2721	1001
731	2725	997
732	2728	993
733	2732	990
734	2736	986
735	2739	982
736	2743	978
737	2746	975
738	2751	971
739	2755	968
740	2758	964
741	2762	960
742	2765	956
743	2769	953
744	2773	949
745	2777	945
746	2780	941
747	2784	938
748	2788	934
749	2792	930
750	2795	927
751	2800	923
752	2804	919
753	2807	916
754	2811	912
755	2814	908
756	2818	904
757	2822	901
758	2826	897
759	2831	894
760	2835	890
761	2839	887
762	2843	883
763	2847	879
764	2851	876
765	2856	872
766	2860	869
767	2865	865
768	2871	862
769	2875	858
770	2880	855
771	2884	852
772	2889	848
773	2893	844
774	2897	841
775	2901	837
776	2905	833
777	2909	830
778	2913	826
779	2918	823
780	2922	819
781	2925	815
782	2930	812
783	2935	808
784	2940	805
785	2945	801
786	2949	798
787	2953	794
788	2957	790
789	2962	787
790	2966	783
791	2970	780
792	2974	776
793	2978	772
794	2983	769
795	2986	765
796	2990	761
797	2995	758
798	2999	754
799	3003	750
800	3007	747
801	3011	743
802	3016	740
803	3020	736
804	3024	732
805	3030	729
806	3037	726
807	3043	723
808	3048	719
809	3052	715
810	3056	712
811	3060	708
812	3066	705
813	3070	701
814	3076	698
815	3081	694
816	3086	691
817	3090	687
818	3096	684
819	3100	680
820	3104	676
821	3109	673
822	3115	669
823	3118	666
824	3123	662
825	3128	659
826	3132	655
827	3138	651
828	3142	648
829	3147	644
830	3152	641
831	3156	637
832	3162	634
833	3167	630
834	3171	626
835	3176	623
836	3181	619
837	3186	615
838	3193	612
839	3198	609
840	3204	605
841	3209	602
842	3214	598
843	3219	595
844	3225	591
845	3230	588
846	3234	584
847	3239	580
848	3244	576
849	3247	573
850	3252	569
851	3257	565
852	3261	562
853	3265	558
854	3270	554
855	3274	550
856	3278	547
857	3282	543
858	3286	539
859	3290	535
860	3294	531
861	3297	527
862	3302	524
863	3306	520
864	3310	516
865	3313	512
866	3317	508
867	3322	505
868	3326	501
869	3330	497
870	3334	493
871	3339	490
872	3344	486
873	3348	482
874	3353	479
875	3357	475
876	3361	471
877	3365	467
878	3369	463
879	3374	460
880	3377	456
881	3383	452
882	3388	448
883	3391	445
884	3395	441
885	3399	437
886	3403	433
887	3407	429
888	3411	425
889	3415	422
890	3420	418
891	3424	414
892	3429	410
893	3434	407
894	3437	403
895	3442	399
896	3445	395
897	3449	391
898	3453	388
899	3457	384
900	3461	380
901	3465	376
902	3470	372
903	3473	368
904	3477	365
905	3481	361
906	3485	357
907	3489	353
908	3494	349
909	3499	346
910	3503	342
911	3507	338
912	3512	334
913	3517	330
914	3521	327
915	3526	323
916	3530	319
917	3535	315
918	3538	311
919	3543	308
920	3547	304
921	3551	300
922	3555	296
923	3560	292
924	3563	288
925	3568	285
926	3571	281
927	3576	277
928	3580	273
929	3583	269
930	3586	265
931	3590	261
932	3594	258
933	3598	254
934	3602	250
935	3605	246
936	3609	242
937	3612	238
938	3615	234
939	3618	230
940	3622	227
941	3625	223
942	3629	219
943	3632	215
944	3636	211
945	3639	207
946	3643	203
947	3646	200
948	3649	196
949	3653	192
950	3656	188
951	3660	184
952	3663	180
953	3667	176
954	3670	172
955	3674	169
956	3677	165
957	3680	161
958	3684	157
959	3687	153
960	3691	149
961	3694	145
962	3698	142
963	3701	138
964	3705	134
965	3709	130
966	3712	126
967	3716	122
968	3720	119
969	3723	115
970	3727	111
971	3730	107
972	3734	103
973	3738	99
974	3742	95
975	3745	92
976	3748	88
977	3755	84
978	3760	80
979	3764	76
980	3769	73
981	3774	69
982	3778	65
983	3782	61
984	3787	57
985	3790	53
986	3794	49
987	3797	46
988	3801	42
989	3804	38
990	3808	34
991	3811	30
992	3814	26
993	3818	23
994	3822	19
995	3825	15
996	3829	11
997	3833	7
998	3836	3
999	3840	0
