iter	Logloss
0	0.6869906857
1	0.6810792959
2	0.6748482696
3	0.6692650866
4	0.664166639
5	0.6594640902
6	0.6541512016
7	0.6492789415
8	0.6446556709
9	0.6409771864
10	0.6365737087
11	0.6319194575
12	0.6284487237
13	0.6239249806
14	0.619373795
15	0.6162717957
16	0.6121100477
17	0.6089846618
18	0.6059836684
19	0.6020703848
20	0.5979347039
21	0.5943171102
22	0.5906660937
23	0.5878509284
24	0.5850480611
25	0.581884007
26	0.578403377
27	0.5751793915
28	0.5723929364
29	0.5689259331
30	0.5658588693
31	0.5626206356
32	0.5597567133
33	0.5568971787
34	0.5540582736
35	0.5512801288
36	0.5487407195
37	0.5461869084
38	0.5437356336
39	0.5411689736
40	0.5387240135
41	0.5362742798
42	0.5342516288
43	0.5326553681
44	0.5301770029
45	0.5281925984
46	0.5258138104
47	0.5242641071
48	0.5222349211
49	0.5200039578
50	0.5179972627
51	0.5158839581
52	0.5144195934
53	0.5124923715
54	0.5106284984
55	0.509244818
56	0.5073791475
57	0.5053639486
58	0.5038242814
59	0.5022417872
60	0.5010523073
61	0.4998046355
62	0.4981512164
63	0.4966588547
64	0.4955743595
65	0.4942553273
66	0.4926300859
67	0.4909772338
68	0.4893773474
69	0.4882696668
70	0.4874722176
71	0.4863764084
72	0.4850153917
73	0.4838919518
74	0.4827197423
75	0.481291836
76	0.4799064178
77	0.4781806685
78	0.4770583747
79	0.4761167789
80	0.4748190944
81	0.4730085933
82	0.472117056
83	0.4706072965
84	0.4697796884
85	0.4686094824
86	0.4676579122
87	0.4667666737
88	0.4656156293
89	0.4645991424
90	0.4634477507
91	0.4626692949
92	0.4613812617
93	0.4601739668
94	0.4594283607
95	0.4577972125
96	0.4569966954
97	0.4560208862
98	0.454692367
99	0.4538778196
100	0.4526951442
101	0.4514980228
102	0.4508476361
103	0.4500079422
104	0.4491619409
105	0.4485078074
106	0.4473657232
107	0.445630192
108	0.4448978989
109	0.4440931872
110	0.4432939628
111	0.4424522847
112	0.4412908177
113	0.4407300661
114	0.4402129901
115	0.4392607736
116	0.4385361008
117	0.437515965
118	0.4370029308
119	0.4363245068
120	0.4352383213
121	0.4347287357
122	0.4339395846
123	0.4333049513
124	0.4323460562
125	0.4312896775
126	0.430669403
127	0.4297117723
128	0.4291576056
129	0.4284395886
130	0.4278013572
131	0.4268163547
132	0.4258362602
133	0.4252160156
134	0.4247791982
135	0.4243784872
136	0.4239666083
137	0.4234095794
138	0.4228498029
139	0.4218782013
140	0.4211933265
141	0.4204047781
142	0.4192890036
143	0.4178411473
144	0.4171028414
145	0.4164267746
146	0.4158211998
147	0.4149243467
148	0.4144744042
149	0.4139495639
150	0.4135569395
151	0.4130498708
152	0.4124875047
153	0.4119876661
154	0.411435882
155	0.4109154553
156	0.4104521989
157	0.4099490287
158	0.4091658842
159	0.4088098935
160	0.4083608597
161	0.4079656495
162	0.4071401311
163	0.4065719373
164	0.4061504925
165	0.405736775
166	0.4050610991
167	0.4046853991
168	0.4038189873
169	0.4033095787
170	0.4029153197
171	0.4022270308
172	0.4012050134
173	0.4007886544
174	0.399991918
175	0.398990876
176	0.3984018065
177	0.3976087925
178	0.3966137242
179	0.396032072
180	0.3950926332
181	0.3938927004
182	0.3935873235
183	0.3926063253
184	0.3921122946
185	0.3912813051
186	0.3909618851
187	0.3900595285
188	0.3892884817
189	0.388621667
190	0.387650114
191	0.38743139
192	0.3865945428
193	0.3858341039
194	0.3855455376
195	0.3852538435
196	0.3841702845
197	0.3835381455
198	0.3832735039
199	0.3821275677
200	0.3816208683
201	0.381330764
202	0.3805828242
203	0.3795013792
204	0.3791430745
205	0.3788112128
206	0.3783064504
207	0.3777594542
208	0.3766153981
209	0.376338822
210	0.3758984771
211	0.3750251436
212	0.3735539054
213	0.3719254295
214	0.3713705583
215	0.3708258207
216	0.3703402213
217	0.3698322555
218	0.3694588582
219	0.3686469475
220	0.3684022621
221	0.3681704519
222	0.3677006691
223	0.3674594776
224	0.3670955229
225	0.3667540838
226	0.3664775084
227	0.3658465617
228	0.3646897634
229	0.3644797179
230	0.3642147473
231	0.3639197517
232	0.3636202753
233	0.3633845119
234	0.3628851091
235	0.3625361353
236	0.3619703675
237	0.3615427599
238	0.3612889928
239	0.3609918667
240	0.3604747807
241	0.3597268759
242	0.3591250438
243	0.3582374255
244	0.3580875502
245	0.3573616794
246	0.3571558752
247	0.3569383341
248	0.3567251072
249	0.3557108257
250	0.3555515558
251	0.355068329
252	0.3548761148
253	0.3545791851
254	0.3542934726
255	0.3535125286
256	0.3526723693
257	0.3524155272
258	0.3515610546
259	0.3511979774
260	0.3509116513
261	0.3507038312
262	0.3504774327
263	0.3498109493
264	0.3491267374
265	0.3479313191
266	0.3477558973
267	0.3473930615
268	0.347192312
269	0.3469533577
270	0.3467312769
271	0.3464521206
272	0.3463399709
273	0.3459797439
274	0.3455611993
275	0.3448674117
276	0.3447497792
277	0.3443984575
278	0.3440422942
279	0.3438768911
280	0.3436532423
281	0.343449363
282	0.343272481
283	0.343091595
284	0.3426628164
285	0.3424341345
286	0.3422398458
287	0.3418295301
288	0.3416059101
289	0.3413606749
290	0.3411832199
291	0.3403579243
292	0.3401436046
293	0.3399402235
294	0.3397107335
295	0.3392891131
